court_number_link,court_number,style_of_cause,nature_of_proceeding,re_link
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1161-02,T-1161-02,FEDERAL EXPRESS CORPORATION ET AL v. FERRET EXPRESS,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1161-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1164-02,T-1164-02,TARKETT SOMMER S.A. c. FIELDTURF HOLDINGS INC. et FIELDTURF INC.,Patent Impeachment,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1164-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1160-02,T-1160-02,WI-LAN INC. v. REDLINE COMMUNICATIONS INC.,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1160-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1156-02,T-1156-02,DR. U. JOBANPUTRA INC. v. JOZEF A. LABEDZKI,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1156-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1145-02,T-1145-02,LUCASFILM LTD. AND LUCAS LICENSING LTD. v. JANE DOE & JOHN DOE ET AL,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1145-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1144-02,T-1144-02,"TIME WARNER ENTERTAINMENT COMPANY, L.P. v. JANE DOE AND JOHN DOE ET AL",Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1144-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1143-02,T-1143-02,"DC COMICS, A PARTNERSHIP OF TIME WARNER ENT. ET AL v. JANE DOE ET AL",Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1143-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1149-02,T-1149-02,UNITED ENTERTAINMENT INC. ET AL v. WAI LOK HO COB KENNEDY VIDEO,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1149-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1147-02,T-1147-02,UNITED ENTERTAINMENT INC. ET AL v. CHARLES CHAO TANG ET AL,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1147-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1148-02,T-1148-02,"UNITED ENTERTAINMENT INC., ET AL v. GUANG-JU MU, ET AL",Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1148-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1142-02,T-1142-02,"DC COMICS, A PARTNERSHIP OF TIME WARNER ENT. v. JANE DOE ET AL",Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1142-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-939-02,T-939-02,SALON SUGAR SYSTEMS INC. v. SALON SUGAR PRODUCTS INC.,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-939-02&select_court=T
